Pesel,Imie,Nazwisko
91082373214,Adam,Bodych
96110255575,Oliwier,Tomalik
92090138589,Roksana,Zawal
90111781404,Nikodem,Romejko
91112450096,Tola,Niedojadło
96091897810,Kornel,Ślebioda
93100588668,Hubert,Flisek
90071523025,Aurelia,Kuczaj
97021835131,Olga,Matynia
94111306276,Maks,Wojtoń
91010539859,Bruno,Kamyszek
94050669096,Tymoteusz,Opioła
97062706009,Melania,Pajda
91081489990,Ida,Kobel
94052099985,Błażej,Duras
96110469316,Krystian,Dziarmaga
90020886528,Cezary,Kierat
97011613602,Apolonia,Pruchnik
94062006184,Marcelina,Nojman
99052813238,Norbert,Buza
93070808508,Radosław,Przekop
94071671573,Leonard,Sładek
97051628727,Paweł,Pyc
92082629749,Hubert,Kosno
99102030967,Melania,Kurbiel
97092665859,Roksana,Ułanowicz
99020854209,Daniel,Kijas
92081912116,Kalina,Kosznik
