Pesel,Przedmiot,Wynik,Data_matury
96110255575,Jezyk polski,91,2027-05-1
96110255575,Jezyk angielski,80,2027-05-2
96110255575,Matematyka,39,2027-05-3
92090138589,Jezyk polski,87,2027-05-1
92090138589,Jezyk angielski,89,2027-05-2
92090138589,Matematyka,20,2027-05-3
90111781404,Jezyk polski,100,2027-05-1
90111781404,Jezyk angielski,63,2027-05-2
90111781404,Matematyka,53,2027-05-3
91112450096,Jezyk polski,81,2027-05-1
91112450096,Jezyk angielski,87,2027-05-2
91112450096,Matematyka,100,2027-05-3
96091897810,Jezyk polski,73,2027-05-1
96091897810,Jezyk angielski,91,2027-05-2
96091897810,Matematyka,95,2027-05-3
94111306276,Jezyk polski,75,2027-05-1
94111306276,Jezyk angielski,79,2027-05-2
94111306276,Matematyka,75,2027-05-3
91010539859,Jezyk polski,71,2027-05-1
91010539859,Jezyk angielski,100,2027-05-2
91010539859,Matematyka,71,2027-05-3
