Pesel,Imie,Nazwisko
91082373214,Adam,Bodych
98073089431,Marek,Rorat
96110255575,Oliwier,Tomalik
90042861374,Mieszko,Ciepłuch
92090138589,Roksana,Zawal
90111781404,Nikodem,Romejko
91112450096,Tola,Niedojadło
91011772741,Monika,Jaremek
96091897810,Kornel,Ślebioda
99030633827,Tola,Wabik
93100588668,Hubert,Flisek
90012789873,Bruno,Słabosz
90071523025,Aurelia,Kuczaj
99061025703,Kornelia,Halik
97021835131,Olga,Matynia
95030524035,Liwia,Myga
92062117815,Ewa,Hermann
99042811686,Krystian,Małocha
94111306276,Maks,Wojtoń
91010539859,Bruno,Kamyszek
94050669096,Tymoteusz,Opioła
98033099997,Cezary,Brach
95040577393,Kalina,Wasil
97062706009,Melania,Pajda
91081489990,Ida,Kobel
94052099985,Błażej,Duras
96110469316,Krystian,Dziarmaga
90020886528,Cezary,Kierat
97011613602,Apolonia,Pruchnik
94062006184,Marcelina,Nojman
99052813238,Norbert,Buza
93070808508,Radosław,Przekop
