Pesel,Przedmiot,Wynik,Data_matury
97012969818,Jezyk polski,37,2027-05-1
97012969818,Jezyk angielski,71,2027-05-2
97012969818,Matematyka,36,2027-05-3
96060804788,Jezyk polski,84,2027-05-1
96060804788,Jezyk angielski,76,2027-05-2
96060804788,Matematyka,75,2027-05-3
95040308917,Jezyk polski,88,2027-05-1
95040308917,Jezyk angielski,70,2027-05-2
95040308917,Matematyka,86,2027-05-3
96080803512,Jezyk polski,58,2027-05-1
96080803512,Jezyk angielski,95,2027-05-2
96080803512,Matematyka,96,2027-05-3
91053169608,Jezyk polski,98,2027-05-1
91053169608,Jezyk angielski,81,2027-05-2
91053169608,Matematyka,30,2027-05-3
90053011847,Jezyk polski,84,2027-05-1
90053011847,Jezyk angielski,100,2027-05-2
90053011847,Matematyka,83,2027-05-3
93042613019,Jezyk polski,70,2027-05-1
93042613019,Jezyk angielski,79,2027-05-2
93042613019,Matematyka,55,2027-05-3
91091740137,Jezyk polski,83,2027-05-1
91091740137,Jezyk angielski,76,2027-05-2
91091740137,Matematyka,37,2027-05-3
96100762685,Jezyk polski,81,2027-05-1
96100762685,Jezyk angielski,77,2027-05-2
96100762685,Matematyka,89,2027-05-3
97012311929,Jezyk polski,82,2027-05-1
97012311929,Jezyk angielski,100,2027-05-2
97012311929,Matematyka,75,2027-05-3
94080735024,Jezyk polski,81,2027-05-1
94080735024,Jezyk angielski,46,2027-05-2
94080735024,Matematyka,86,2027-05-3
95042228877,Jezyk polski,43,2027-05-1
95042228877,Jezyk angielski,70,2027-05-2
95042228877,Matematyka,100,2027-05-3
91050537578,Jezyk polski,61,2027-05-1
91050537578,Jezyk angielski,72,2027-05-2
91050537578,Matematyka,76,2027-05-3
99071472001,Jezyk polski,72,2027-05-1
99071472001,Jezyk angielski,75,2027-05-2
99071472001,Matematyka,33,2027-05-3
94052769817,Jezyk polski,83,2027-05-1
94052769817,Jezyk angielski,90,2027-05-2
94052769817,Matematyka,89,2027-05-3
91120438084,Jezyk polski,71,2027-05-1
91120438084,Jezyk angielski,96,2027-05-2
91120438084,Matematyka,70,2027-05-3
90120191520,Jezyk polski,97,2027-05-1
90120191520,Jezyk angielski,74,2027-05-2
90120191520,Matematyka,77,2027-05-3
95032557295,Jezyk polski,88,2027-05-1
95032557295,Jezyk angielski,85,2027-05-2
95032557295,Matematyka,72,2027-05-3
90112379424,Jezyk polski,77,2027-05-1
90112379424,Jezyk angielski,53,2027-05-2
90112379424,Matematyka,74,2027-05-3
97110249214,Jezyk polski,72,2027-05-1
97110249214,Jezyk angielski,81,2027-05-2
97110249214,Matematyka,79,2027-05-3
95020785198,Jezyk polski,59,2027-05-1
95020785198,Jezyk angielski,81,2027-05-2
95020785198,Matematyka,96,2027-05-3
97111361881,Jezyk polski,88,2027-05-1
97111361881,Jezyk angielski,72,2027-05-2
97111361881,Matematyka,79,2027-05-3
99052120864,Jezyk polski,70,2027-05-1
99052120864,Jezyk angielski,99,2027-05-2
99052120864,Matematyka,27,2027-05-3
95032138902,Jezyk polski,74,2027-05-1
95032138902,Jezyk angielski,72,2027-05-2
95032138902,Matematyka,74,2027-05-3
91110105158,Jezyk polski,77,2027-05-1
91110105158,Jezyk angielski,79,2027-05-2
91110105158,Matematyka,80,2027-05-3
90032762506,Jezyk polski,73,2027-05-1
90032762506,Jezyk angielski,74,2027-05-2
90032762506,Matematyka,32,2027-05-3
98080648373,Jezyk polski,80,2027-05-1
98080648373,Jezyk angielski,54,2027-05-2
98080648373,Matematyka,83,2027-05-3
93032308477,Jezyk polski,81,2027-05-1
93032308477,Jezyk angielski,97,2027-05-2
93032308477,Matematyka,95,2027-05-3
92091504866,Jezyk polski,73,2027-05-1
92091504866,Jezyk angielski,71,2027-05-2
92091504866,Matematyka,29,2027-05-3
92101867411,Jezyk polski,76,2027-05-1
92101867411,Jezyk angielski,81,2027-05-2
92101867411,Matematyka,78,2027-05-3
93031743831,Jezyk polski,63,2027-05-1
93031743831,Jezyk angielski,64,2027-05-2
93031743831,Matematyka,82,2027-05-3
95063038013,Jezyk polski,81,2027-05-1
95063038013,Jezyk angielski,92,2027-05-2
95063038013,Matematyka,54,2027-05-3
97071751513,Jezyk polski,97,2027-05-1
97071751513,Jezyk angielski,81,2027-05-2
97071751513,Matematyka,73,2027-05-3
94043017222,Jezyk polski,71,2027-05-1
94043017222,Jezyk angielski,84,2027-05-2
94043017222,Matematyka,94,2027-05-3
94072794547,Jezyk polski,43,2027-05-1
94072794547,Jezyk angielski,25,2027-05-2
94072794547,Matematyka,73,2027-05-3
94010349965,Jezyk polski,76,2027-05-1
94010349965,Jezyk angielski,82,2027-05-2
94010349965,Matematyka,85,2027-05-3
92061521668,Jezyk polski,90,2027-05-1
92061521668,Jezyk angielski,78,2027-05-2
92061521668,Matematyka,76,2027-05-3
96101805143,Jezyk polski,87,2027-05-1
96101805143,Jezyk angielski,72,2027-05-2
96101805143,Matematyka,94,2027-05-3
92030436056,Jezyk polski,87,2027-05-1
92030436056,Jezyk angielski,76,2027-05-2
92030436056,Matematyka,73,2027-05-3
94032567628,Jezyk polski,70,2027-05-1
94032567628,Jezyk angielski,91,2027-05-2
94032567628,Matematyka,73,2027-05-3
99050569971,Jezyk polski,82,2027-05-1
99050569971,Jezyk angielski,47,2027-05-2
99050569971,Matematyka,81,2027-05-3
90052527149,Jezyk polski,91,2027-05-1
90052527149,Jezyk angielski,100,2027-05-2
90052527149,Matematyka,84,2027-05-3
97071217352,Jezyk polski,81,2027-05-1
97071217352,Jezyk angielski,20,2027-05-2
97071217352,Matematyka,79,2027-05-3
99032336728,Jezyk polski,78,2027-05-1
99032336728,Jezyk angielski,76,2027-05-2
99032336728,Matematyka,72,2027-05-3
98121269033,Jezyk polski,37,2027-05-1
98121269033,Jezyk angielski,84,2027-05-2
98121269033,Matematyka,36,2027-05-3
99052924239,Jezyk polski,63,2027-05-1
99052924239,Jezyk angielski,51,2027-05-2
99052924239,Matematyka,74,2027-05-3
93112461582,Jezyk polski,68,2027-05-1
93112461582,Jezyk angielski,70,2027-05-2
93112461582,Matematyka,74,2027-05-3
97061388862,Jezyk polski,77,2027-05-1
97061388862,Jezyk angielski,93,2027-05-2
97061388862,Matematyka,72,2027-05-3
99032878901,Jezyk polski,84,2027-05-1
99032878901,Jezyk angielski,55,2027-05-2
99032878901,Matematyka,88,2027-05-3
96010968720,Jezyk polski,88,2027-05-1
96010968720,Jezyk angielski,89,2027-05-2
96010968720,Matematyka,71,2027-05-3
91092676400,Jezyk polski,17,2027-05-1
91092676400,Jezyk angielski,74,2027-05-2
91092676400,Matematyka,99,2027-05-3
91011933195,Jezyk polski,71,2027-05-1
91011933195,Jezyk angielski,74,2027-05-2
91011933195,Matematyka,80,2027-05-3
96111944920,Jezyk polski,82,2027-05-1
96111944920,Jezyk angielski,80,2027-05-2
96111944920,Matematyka,80,2027-05-3
94031804063,Jezyk polski,62,2027-05-1
94031804063,Jezyk angielski,71,2027-05-2
94031804063,Matematyka,100,2027-05-3
97101728739,Jezyk polski,78,2027-05-1
97101728739,Jezyk angielski,95,2027-05-2
97101728739,Matematyka,80,2027-05-3
95021085730,Jezyk polski,47,2027-05-1
95021085730,Jezyk angielski,83,2027-05-2
95021085730,Matematyka,84,2027-05-3
97112604626,Jezyk polski,100,2027-05-1
97112604626,Jezyk angielski,82,2027-05-2
97112604626,Matematyka,88,2027-05-3
92070904030,Jezyk polski,87,2027-05-1
92070904030,Jezyk angielski,20,2027-05-2
92070904030,Matematyka,86,2027-05-3
97091990633,Jezyk polski,100,2027-05-1
97091990633,Jezyk angielski,70,2027-05-2
97091990633,Matematyka,72,2027-05-3
94020136355,Jezyk polski,65,2027-05-1
94020136355,Jezyk angielski,36,2027-05-2
94020136355,Matematyka,82,2027-05-3
97090437287,Jezyk polski,89,2027-05-1
97090437287,Jezyk angielski,88,2027-05-2
97090437287,Matematyka,42,2027-05-3
94083062783,Jezyk polski,86,2027-05-1
94083062783,Jezyk angielski,86,2027-05-2
94083062783,Matematyka,88,2027-05-3
96120691817,Jezyk polski,73,2027-05-1
96120691817,Jezyk angielski,80,2027-05-2
96120691817,Matematyka,80,2027-05-3
95011876306,Jezyk polski,84,2027-05-1
95011876306,Jezyk angielski,61,2027-05-2
95011876306,Matematyka,46,2027-05-3
90111390149,Jezyk polski,93,2027-05-1
90111390149,Jezyk angielski,73,2027-05-2
90111390149,Matematyka,75,2027-05-3
90083102982,Jezyk polski,58,2027-05-1
90083102982,Jezyk angielski,87,2027-05-2
90083102982,Matematyka,100,2027-05-3
91040537171,Jezyk polski,74,2027-05-1
91040537171,Jezyk angielski,52,2027-05-2
