ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
49967,90051876985,4C
49968,93041461415,3C
49969,99112031457,3C
49970,91032028775,3D
49971,91101206901,4A
49972,90022048131,3A
49973,98041847098,4A
49974,91031094247,3A
49975,95072929696,4A
49976,91091319528,4B
49977,97081198276,3C
49978,97050739255,4C
49979,95081964619,3A
49980,90102200570,4B
49981,95122461570,4A
49982,97013087344,4C
49983,91072337154,4D
49984,98032063054,3B
49985,96021689733,4B
49986,92032896159,4B
49987,99050559930,3D
49988,92082785023,4C
49989,91062801047,3D
49990,93120380569,4B
49991,93042674841,4B
49992,90041684561,4D
49993,96080160747,3B
49994,96040449914,4B
49995,92082742103,4D
49996,99082289595,4A
49997,98062597260,4C
49998,93060313548,4A
49999,92060895252,3D
50000,90080215506,3A
50001,95012487332,3D
50002,92032342438,3C
50003,94011234068,4B
50004,94082149782,4A
50005,99110417303,4D
50006,91061948365,3C
50007,97110128265,3D
50008,97112989527,3B
50009,97010243659,3B
50010,94112005952,3C
50011,91041514249,3A
50012,91050172997,3C
50013,94112696914,4A
50014,96123184918,4B
50015,95091952233,4C
50016,95050409268,3A
50017,96052954978,4C
50018,96020514526,4A
50019,97030330928,3C
50020,96060569599,4C
50021,99062230667,3B
50022,94111058067,4D
50023,93011153328,4B
50024,99022122368,3D
50025,93021360101,4A
50026,92100499446,3D
50027,93091420202,4D
50028,93121445322,3D
50029,99051498193,4C
50030,97051928384,4C
50031,96100897662,3A
50032,95101162210,4B
50033,96021323479,3D
50034,90080617124,3D
50035,90011166385,4A
50036,96061794442,3A
50037,92111231309,3B
50038,92021181183,3D
50039,91112093987,4A
50040,99031794952,3B
50041,99092004913,3B
50042,99080486369,4C
50043,92021839086,3A
50044,95052457665,3C
50045,91072351307,4C
50046,93082198673,3A
50047,93111707186,3C
50048,93011816564,3B
50049,94112477588,4A
50050,91032536085,4A
50051,95072583928,3A
50052,95101364438,3B
50053,90031734357,3B
50054,97120624908,4D
50055,90032272856,4C
50056,93012234671,3C
50057,90103140833,3C
50058,92122404048,3A
50059,91120474587,4A
50060,93030573929,4C
50061,90052928063,3A
50062,93070934746,3A
50063,92122448914,3A
50064,96052312736,3D
50065,98070175496,4B
50066,95111702956,3C
50067,90100195843,4A
50068,90083086990,4C
50069,90080576278,3B
50070,98011313400,3A
50071,97110329284,3A
50072,94102019200,3D
50073,99071136958,3A
50074,93090846357,3C
50075,91080535852,4D
50076,99092956425,4A
50077,94110532115,4B
50078,99121057697,4D
50079,90102975957,3B
50080,94051773464,3D
50081,93022222349,3D
50082,95123080071,4B
50083,98121997275,3D
50084,92083172017,3A
50085,95081336122,4A
50086,92040442568,4A
50087,98030345114,3C
50088,95101327965,4A
50089,92070737823,4B
50090,99041644920,4C
50091,96120347756,3A
50092,93120840159,4D
50093,95091495776,4D
50094,90040624441,3B
50095,92031625543,3D
50096,93112737009,4A
50097,90091080072,4A
50098,97070361410,3D
50099,97122416994,4A
50100,92121660672,3D
50101,91012958591,4B
50102,95123032207,3D
50103,94082292626,3B
50104,99060892470,3B
50105,97092829039,4C
50106,94033001482,4C
50107,93021278303,4B
50108,96030404145,4C
50109,90112373480,4B
50110,98061777399,3A
50111,94050433202,3C
50112,92070982728,4B
50113,90091218707,4A
50114,90060307203,4C
50115,95022708478,4D
50116,99022192420,3A
50117,98120762087,4A
50118,93060643098,4C
50119,97041006313,4A
50120,94123074297,4A
50121,93112349662,3B
50122,90092423371,3A
50123,92102367620,3A
50124,96050823119,3C
50125,92110597930,3B
50126,93051579346,3B
50127,96021497327,4C
50128,90100659529,4A
50129,91070407635,4D
50130,92052333476,3A
50131,92040898284,4D
50132,97073022552,4B
50133,97051540254,4C
50134,95082092827,3B
50135,91113000252,4D
50136,98080651447,3D
50137,98011139767,3D
50138,97120928453,3A
50139,98101904808,4B
50140,92051158795,3B
50141,93111975820,4C
50142,96081197872,3B
50143,90122812081,4D
50144,92080614842,4A
50145,92090524412,3D
50146,94091980271,4D
50147,91072641572,3D
50148,94121203239,3C
50149,94110860816,4A
50150,94032153746,4D
50151,98102761532,3A
50152,93031445610,4A
50153,94112019607,3B
50154,91012009785,4A
50155,90111636261,4D
50156,92102823216,4B
50157,90031908110,4D
50158,94120430643,4A
50159,98072448819,4C
50160,93030319619,3D
50161,96022243774,3A
50162,95101590086,4A
50163,97111007857,4A
50164,99082058379,3C
50165,93021851005,3C
50166,94053047642,3A
50167,93042316110,4D
50168,90111433516,4D
50169,99080823984,4B
50170,94012476782,4C
50171,94031862663,3D
50172,99042924634,4D
50173,91021038211,3D
50174,99091800817,3A
50175,95072811261,3A
50176,92082569713,3A
50177,97052664403,4C
50178,99011635987,4B
50179,93111381841,3A
50180,94051465066,4B
50181,95120343809,4A
50182,99073067850,4D
50183,91102808713,4C
50184,91102118434,3A
50185,94030380328,4B
50186,90032705402,3C
50187,95052721630,4A
50188,97071256780,3A
50189,98011668302,4D
50190,93100784620,4B
50191,91110834919,4A
50192,93111539534,4A
50193,97111590425,4B
50194,92061257242,3D
50195,99012699131,4D
50196,97011979706,3C
50197,95060593304,4C
50198,90120670900,4A
50199,91070333459,4A
50200,92102442725,3A
50201,90120552312,3D
50202,90032102285,4A
50203,99092121081,4C
50204,94042320480,3A
50205,90031492789,3A
50206,99080430221,4A
50207,93071211181,3D
50208,91022621274,3C
50209,98122531692,4B
50210,97022008800,4D
50211,91071706672,3A
50212,94080833791,3C
50213,92061261287,4B
50214,95042785037,3D
50215,94081785417,4D
50216,90090336044,3D
50217,95042607205,3C
50218,96081334219,4D
50219,96052875893,4A
50220,92041771825,4B
50221,99040341903,3D
50222,98090448769,3B
50223,90032211994,4C
50224,96060195190,4A
50225,96080768549,3C
50226,99050649095,3A
50227,98020386963,3A
50228,93080407326,4C
50229,93061145056,3B
50230,91022549707,3C
50231,90102124887,4A
50232,98102959432,4C
50233,92062465932,4D
50234,97091201942,3B
50235,95092825130,4B
50236,92042344196,3D
50237,99012951699,4D
50238,93050221213,3B
50239,98020801082,4B
50240,98102206534,4B
50241,97022854326,4A
50242,90052008507,3D
50243,90122573058,4A
50244,90050364115,3C
50245,96022125940,4A
50246,96091849398,3C
50247,95092574393,3D
