ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
25001,90071575411,2A
25002,98092514600,3D
25003,95010607624,4D
25004,94010808455,2A
25005,96061895181,4B
25006,98060791772,2D
25007,90100758150,3D
25008,91011047250,3C
25009,94021198170,3B
25010,99120728460,3A
25011,99080619068,2A
25012,97101193269,4B
25013,90080614329,3D
25014,98111751180,3B
25015,95012461941,3C
25016,92090219307,2D
25017,91090410275,3A
25018,96112719884,2D
25019,93030891993,3C
25020,92091935734,4A
25021,99012607644,4A
25022,95062370002,4C
25023,91040690308,4D
25024,95031581077,4A
25025,94072827485,4B
25026,92012578237,3A
25027,90121760484,2C
25028,97042941725,2D
25029,97011674205,3D
25030,98111495079,3B
25031,93120250853,3C
25032,99112025656,3B
25033,91071502414,2B
25034,98121265565,3D
25035,96080652154,3A
25036,95020778143,4B
25037,92092400505,3D
25038,98041918950,4C
25039,94041507141,4A
25040,97030810934,2A
25041,96061100555,2D
25042,90070127725,3D
25043,91072812837,4C
25044,94011457856,2B
25045,99041651722,3A
25046,99021637539,4C
25047,95071492894,2A
25048,96061613853,4B
25049,96111612195,4D
25050,98020649804,4C
25051,92082099038,3C
25052,93032230693,2A
25053,93083011100,2B
25054,92012386326,4D
25055,96061953207,4A
25056,93021328060,3A
25057,90062139802,2D
25058,98122589787,2B
25059,98091370434,3D
25060,96050491622,3B
25061,96072496276,2D
25062,94121754599,3A
25063,94112956753,3C
25064,94011178845,3B
25065,94082015942,2C
25066,94071109995,2B
25067,90042738931,2A
25068,99031298012,2C
25069,95030286362,4D
25070,99061062467,4A
25071,94012818944,4A
25072,99060862020,2D
25073,96022592212,2D
25074,96071248867,2B
25075,97031772714,3C
25076,99042327406,3D
25077,96042902635,2C
25078,98100350822,2B
25079,92100601629,3D
25080,92060444654,4D
25081,97040262961,2A
25082,93110335988,4B
25083,98102200675,4A
25084,93040699455,3A
25085,98120783022,2A
25086,97052978203,4B
25087,96110782989,2A
25088,94080204364,4B
25089,97081654091,3C
25090,99100976298,3B
25091,98010878508,4B
25092,97043017612,4C
25093,98020114003,3C
25094,92121158900,2C
25095,91121201502,3C
25096,92051732177,3B
25097,98010327248,3B
25098,90050454881,4B
25099,91053005494,3D
25100,97042738152,4A
