Pesel,Przedmiot,Wynik,Data_matury
99062829931,Jezyk polski,37,2026-05-1
99062829931,Jezyk angielski,84,2026-05-2
99062829931,Matematyka,50,2026-05-3
91120574980,Jezyk polski,45,2026-05-1
91120574980,Jezyk angielski,96,2026-05-2
91120574980,Matematyka,94,2026-05-3
93032035922,Jezyk polski,70,2026-05-1
93032035922,Jezyk angielski,34,2026-05-2
93032035922,Matematyka,90,2026-05-3
95102840111,Jezyk polski,97,2026-05-1
95102840111,Jezyk angielski,82,2026-05-2
95102840111,Matematyka,93,2026-05-3
96070201777,Jezyk polski,71,2026-05-1
96070201777,Jezyk angielski,55,2026-05-2
96070201777,Matematyka,100,2026-05-3
94081044415,Jezyk polski,74,2026-05-1
94081044415,Jezyk angielski,78,2026-05-2
94081044415,Matematyka,85,2026-05-3
90040742442,Jezyk polski,74,2026-05-1
90040742442,Jezyk angielski,92,2026-05-2
90040742442,Matematyka,77,2026-05-3
93042520463,Jezyk polski,70,2026-05-1
93042520463,Jezyk angielski,71,2026-05-2
93042520463,Matematyka,64,2026-05-3
93032287480,Jezyk polski,80,2026-05-1
93032287480,Jezyk angielski,79,2026-05-2
93032287480,Matematyka,70,2026-05-3
92011620201,Jezyk polski,54,2026-05-1
92011620201,Jezyk angielski,86,2026-05-2
92011620201,Matematyka,79,2026-05-3
95031637464,Jezyk polski,76,2026-05-1
95031637464,Jezyk angielski,78,2026-05-2
95031637464,Matematyka,67,2026-05-3
94042610105,Jezyk polski,100,2026-05-1
94042610105,Jezyk angielski,74,2026-05-2
94042610105,Matematyka,53,2026-05-3
98071734548,Jezyk polski,83,2026-05-1
98071734548,Jezyk angielski,90,2026-05-2
98071734548,Matematyka,73,2026-05-3
95123171311,Jezyk polski,100,2026-05-1
95123171311,Jezyk angielski,78,2026-05-2
95123171311,Matematyka,57,2026-05-3
96110627552,Jezyk polski,100,2026-05-1
96110627552,Jezyk angielski,74,2026-05-2
96110627552,Matematyka,87,2026-05-3
95052280533,Jezyk polski,73,2026-05-1
95052280533,Jezyk angielski,77,2026-05-2
95052280533,Matematyka,47,2026-05-3
91050429969,Jezyk polski,76,2026-05-1
91050429969,Jezyk angielski,33,2026-05-2
91050429969,Matematyka,82,2026-05-3
98081121985,Jezyk polski,87,2026-05-1
98081121985,Jezyk angielski,73,2026-05-2
98081121985,Matematyka,83,2026-05-3
96031356304,Jezyk polski,80,2026-05-1
96031356304,Jezyk angielski,100,2026-05-2
96031356304,Matematyka,90,2026-05-3
99010799208,Jezyk polski,88,2026-05-1
99010799208,Jezyk angielski,31,2026-05-2
99010799208,Matematyka,76,2026-05-3
90070879370,Jezyk polski,91,2026-05-1
90070879370,Jezyk angielski,61,2026-05-2
90070879370,Matematyka,70,2026-05-3
98072283768,Jezyk polski,100,2026-05-1
98072283768,Jezyk angielski,85,2026-05-2
98072283768,Matematyka,89,2026-05-3
91102704835,Jezyk polski,52,2026-05-1
91102704835,Jezyk angielski,98,2026-05-2
91102704835,Matematyka,55,2026-05-3
92032517407,Jezyk polski,90,2026-05-1
92032517407,Jezyk angielski,92,2026-05-2
92032517407,Matematyka,76,2026-05-3
93121644462,Jezyk polski,100,2026-05-1
93121644462,Jezyk angielski,63,2026-05-2
93121644462,Matematyka,84,2026-05-3
93053109048,Jezyk polski,78,2026-05-1
93053109048,Jezyk angielski,97,2026-05-2
93053109048,Matematyka,73,2026-05-3
97121758938,Jezyk polski,81,2026-05-1
97121758938,Jezyk angielski,40,2026-05-2
97121758938,Matematyka,64,2026-05-3
98020719871,Jezyk polski,76,2026-05-1
98020719871,Jezyk angielski,68,2026-05-2
98020719871,Matematyka,88,2026-05-3
94061517825,Jezyk polski,71,2026-05-1
94061517825,Jezyk angielski,75,2026-05-2
