ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
1,92020865969,1B
2,99071734774,3C
3,99120946857,3D
4,91111549571,3D
5,97011687485,4D
6,99121201164,2C
7,99100637289,1B
8,94021977865,2A
9,96111202514,3D
10,99051107484,2D
11,97111486292,4C
12,92060273443,3C
13,93060919454,1B
14,90100616814,3C
15,92032682752,1A
16,93032324530,1C
17,94082023875,1B
18,93112658290,1B
19,93060302803,3A
20,91100530524,4D
21,93091794253,1C
22,94041954073,4D
23,99081448023,1B
24,98031482966,4D
25,96101093784,3A
26,97042963327,3C
27,99021019373,2A
28,91031565756,3C
29,99122094961,1B
30,97092889211,2D
